Country_population,Year,population,GDP,unemployment_rate,REGION
Afghanistan,2016,34636.207,509.2711722,0.10086,Eastern Mediterranean
Afghanistan,2015,33753.499,543.7689396,0.08989,Eastern Mediterranean
Afghanistan,2014,32716.21,585.8626728,0.0791,Eastern Mediterranean
Afghanistan,2013,31541.209,608.0586417,0.07949,Eastern Mediterranean
Afghanistan,2012,30466.479,614.109574,0.08019,Eastern Mediterranean
Afghanistan,2011,29249.157,576.1017703,0.07947,Eastern Mediterranean
Afghanistan,2010,28189.672,503.6366056,0.08068,Eastern Mediterranean
Afghanistan,2009,27385.307,408.3539296,0.08082,Eastern Mediterranean
Afghanistan,2008,26427.199,369.266275,0.08022,Eastern Mediterranean
Afghanistan,2007,25903.301,347.305373,0.08108,Eastern Mediterranean
Bahrain,2016,1409.661,22608.46892,0.01181,Eastern Mediterranean
Bahrain,2015,1362.142,22634.11865,0.01197,Eastern Mediterranean
Bahrain,2014,1311.134,24989.38021,0.01184,Eastern Mediterranean
Bahrain,2013,1261.673,24744.38377,0.01178,Eastern Mediterranean
Bahrain,2012,1224.939,23654.35168,0.012,Eastern Mediterranean
Bahrain,2011,1212.077,22514.24868,0.01185,Eastern Mediterranean
Bahrain,2010,1213.645,20722.13729,0.0113,Eastern Mediterranean
Bahrain,2009,1179.453,19355.90657,0.01144,Eastern Mediterranean
Bahrain,2008,1110.343,23066.50698,0.0111,Eastern Mediterranean
Bahrain,2007,1040.532,20976.55554,0.01091,Eastern Mediterranean
Djibouti,2016,1023.261,2818.376856,0.26197,Eastern Mediterranean
Djibouti,2015,1006.259,2675.605375,0.26337,Eastern Mediterranean
Djibouti,2014,989.087,2466.020613,0.2651,Eastern Mediterranean
Djibouti,2013,971.753,2312.728803,0.26714,Eastern Mediterranean
Djibouti,2012,954.297,1964.194474,0.26873,Eastern Mediterranean
Djibouti,2011,936.811,1702.985513,0.26971,Eastern Mediterranean
Djibouti,2010,919.199,1480.188842,0.27194,Eastern Mediterranean
Djibouti,2009,901.103,1321.430567,0.27402,Eastern Mediterranean
Djibouti,2008,882.886,1195.804139,0.27455,Eastern Mediterranean
Djibouti,2007,865.196,1052.725652,0.27619,Eastern Mediterranean
